key,sweep,controller,L_mm,dz_mm,mu,success,reached,t_reach_s,theta_end_deg,peak_finger_N,mean_finger_N,peak_table_N,max_table_slip_mm,max_edge_lift_mm,finger_slide_mm,max_contact_gap_ms,peak_command_N,hfvc_solve_failures,hfvc_solve_ms,fail_reason,wall_s
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,75.0,0.0,0.8,1,1,1.4085,40.011,10.016,9.982,13.834,0.0459,0.0,0.4296,0.0,10.044,0,194.04,,0.331
nominal|velocity|75.00|0.00|0.800,nominal,velocity,75.0,0.0,0.8,1,1,1.34,40.011,12.015,10.898,13.913,0.052,0.0,0.4312,0.0,11.322,0,0.0,,0.113
nominal|force|75.00|0.00|0.800,nominal,force,75.0,0.0,0.8,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,333.18,did not reach 40 deg in 2.5 s,0.534
size|hfvc|69.00|0.00|0.800,size,hfvc,69.0,0.0,0.8,1,1,1.288,40.011,10.088,10.031,13.333,0.0677,0.0,0.3284,0.0,10.044,0,173.68,,0.292
size|velocity|69.00|0.00|0.800,size,velocity,69.0,0.0,0.8,0,0,,0.0,9.78,5.154,83.009,0.0516,1.3227,0.2873,250.0,9.112,0,0.0,finger lost the block; finger contact lost,0.073
size|force|69.00|0.00|0.800,size,force,69.0,0.0,0.8,1,1,0.534,40.012,10.012,10.005,12.654,0.0482,0.0,0.1731,0.0,9.385,0,71.05,,0.116
size|hfvc|72.00|0.00|0.800,size,hfvc,72.0,0.0,0.8,1,1,1.348,40.003,10.052,10.006,13.573,0.0559,0.0,0.3783,0.0,10.044,0,180.98,,0.305
size|velocity|72.00|0.00|0.800,size,velocity,72.0,0.0,0.8,1,1,1.3405,40.012,9.777,6.247,12.756,0.0198,0.0044,0.2964,0.0,9.226,0,0.0,,0.107
size|force|72.00|0.00|0.800,size,force,72.0,0.0,0.8,1,1,1.1715,40.003,10.01,9.997,12.825,0.0774,0.0,0.304,0.0,9.385,0,156.63,,0.249
size|hfvc|78.00|0.00|0.800,size,hfvc,78.0,0.0,0.8,1,1,1.4685,40.007,9.983,9.959,14.115,0.0372,0.0,0.4829,0.0,10.044,0,198.61,,0.34
size|velocity|78.00|0.00|0.800,size,velocity,78.0,0.0,0.8,1,1,1.3405,40.006,20.99,15.551,21.405,0.0746,0.0,0.5808,0.0,20.406,0,0.0,,0.112
size|force|78.00|0.00|0.800,size,force,78.0,0.0,0.8,0,0,,0.03,9.98,9.978,13.273,0.1042,0.0,0.9137,0.0,9.385,0,337.53,did not reach 40 deg in 2.5 s,0.556
size|hfvc|81.00|0.00|0.800,size,hfvc,81.0,0.0,0.8,1,1,1.5285,40.003,9.949,9.935,14.424,0.0298,0.0,0.539,0.0,10.044,0,205.51,,0.347
size|velocity|81.00|0.00|0.800,size,velocity,81.0,0.0,0.8,0,1,1.342,40.008,30.021,20.207,29.773,0.0903,0.0,0.7418,0.0,29.578,0,0.0,finger force above 25 N,0.107
size|force|81.00|0.00|0.800,size,force,81.0,0.0,0.8,0,0,,0.006,9.98,9.977,13.629,0.0835,0.0,0.891,0.0,9.385,0,333.44,did not reach 40 deg in 2.5 s,0.543
table|hfvc|75.00|-3.00|0.800,table,hfvc,75.0,-3.0,0.8,1,1,1.4085,40.011,10.016,9.982,13.834,0.0459,0.0,0.4296,0.0,10.044,0,190.52,,0.322
table|velocity|75.00|-3.00|0.800,table,velocity,75.0,-3.0,0.8,1,1,1.3915,40.001,16.452,12.106,16.995,0.0665,0.0,0.4741,0.0,15.794,0,0.0,,0.109
table|force|75.00|-3.00|0.800,table,force,75.0,-3.0,0.8,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,333.62,did not reach 40 deg in 2.5 s,0.525
table|hfvc|75.00|-1.50|0.800,table,hfvc,75.0,-1.5,0.8,1,1,1.4085,40.011,10.016,9.982,13.834,0.0459,0.0,0.4296,0.0,10.044,0,189.73,,0.32
table|velocity|75.00|-1.50|0.800,table,velocity,75.0,-1.5,0.8,1,1,1.3655,40.014,14.194,11.492,15.077,0.0591,0.0,0.4521,0.0,13.519,0,0.0,,0.107
table|force|75.00|-1.50|0.800,table,force,75.0,-1.5,0.8,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,333.7,did not reach 40 deg in 2.5 s,0.526
table|hfvc|75.00|1.50|0.800,table,hfvc,75.0,1.5,0.8,1,1,1.4085,40.011,10.016,9.982,13.834,0.0459,0.0,0.4296,0.0,10.044,0,191.66,,0.325
table|velocity|75.00|1.50|0.800,table,velocity,75.0,1.5,0.8,1,1,1.3155,40.008,10.574,10.325,13.608,0.0455,0.0,0.4115,0.0,9.811,0,0.0,,0.105
table|force|75.00|1.50|0.800,table,force,75.0,1.5,0.8,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,335.66,did not reach 40 deg in 2.5 s,0.529
table|hfvc|75.00|3.00|0.800,table,hfvc,75.0,3.0,0.8,1,1,1.4085,40.011,10.016,9.982,13.834,0.0459,0.0,0.4296,0.0,10.044,0,192.76,,0.325
table|velocity|75.00|3.00|0.800,table,velocity,75.0,3.0,0.8,1,1,1.292,40.009,10.404,9.771,13.534,0.0394,0.0006,0.3929,0.0,9.662,0,0.0,,0.103
table|force|75.00|3.00|0.800,table,force,75.0,3.0,0.8,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,333.75,did not reach 40 deg in 2.5 s,0.53
friction|hfvc|75.00|0.00|0.300,friction,hfvc,75.0,0.0,0.3,0,1,1.186,40.116,22.364,9.956,57.646,10.0291,0.045,1.2344,0.0,10.044,0,160.32,table slip,0.273
friction|velocity|75.00|0.00|0.300,friction,velocity,75.0,0.0,0.3,1,1,1.3045,40.01,11.814,9.623,18.806,1.7198,0.0097,0.6136,0.0,10.706,0,0.0,,0.105
friction|force|75.00|0.00|0.300,friction,force,75.0,0.0,0.3,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,336.01,did not reach 40 deg in 2.5 s,0.532
friction|hfvc|75.00|0.00|0.450,friction,hfvc,75.0,0.0,0.45,1,1,1.4075,40.004,10.016,9.982,13.834,0.0733,0.0061,0.4296,0.0,10.044,0,187.31,,0.317
friction|velocity|75.00|0.00|0.450,friction,velocity,75.0,0.0,0.45,1,1,1.3295,40.013,12.39,10.854,18.304,0.538,0.0096,0.5111,0.0,11.235,0,0.0,,0.106
friction|force|75.00|0.00|0.450,friction,force,75.0,0.0,0.45,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,331.69,did not reach 40 deg in 2.5 s,0.524
friction|hfvc|75.00|0.00|0.600,friction,hfvc,75.0,0.0,0.6,1,1,1.4085,40.011,10.016,9.982,13.834,0.0459,0.0,0.4296,0.0,10.044,0,191.26,,0.326
friction|velocity|75.00|0.00|0.600,friction,velocity,75.0,0.0,0.6,1,1,1.34,40.011,12.015,10.898,13.913,0.052,0.0,0.4312,0.0,11.322,0,0.0,,0.107
friction|force|75.00|0.00|0.600,friction,force,75.0,0.0,0.6,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,348.66,did not reach 40 deg in 2.5 s,0.545
friction|hfvc|75.00|0.00|1.000,friction,hfvc,75.0,0.0,1.0,1,1,1.4085,40.011,10.016,9.982,13.834,0.0459,0.0,0.4296,0.0,10.044,0,192.6,,0.326
friction|velocity|75.00|0.00|1.000,friction,velocity,75.0,0.0,1.0,1,1,1.34,40.011,12.015,10.898,13.913,0.052,0.0,0.4312,0.0,11.322,0,0.0,,0.11
friction|force|75.00|0.00|1.000,friction,force,75.0,0.0,1.0,0,0,,30.746,9.996,9.987,13.127,0.0716,0.0,0.7097,0.0,9.385,0,334.76,did not reach 40 deg in 2.5 s,0.529
random|hfvc|71.79|0.56|0.680,random,hfvc,71.789,0.56,0.6804,1,1,1.344,40.009,10.054,10.008,13.556,0.0567,0.0,0.3748,0.0,10.044,0,182.36,,0.307
random|velocity|71.79|0.56|0.680,random,velocity,71.789,0.56,0.6804,1,1,1.331,40.011,9.777,5.71,12.735,0.0145,0.0055,0.2814,0.0,9.222,0,0.0,,0.108
random|force|71.79|0.56|0.680,random,force,71.789,0.56,0.6804,1,1,1.083,40.005,10.011,9.998,12.813,0.0724,0.0,0.2841,0.0,9.385,0,147.44,,0.235
random|hfvc|73.71|-0.58|0.874,random,hfvc,73.705,-0.58,0.8743,1,1,1.3825,40.011,10.031,9.993,13.719,0.05,0.0,0.4072,0.0,10.044,0,186.53,,0.314
random|velocity|73.71|-0.58|0.874,random,velocity,73.705,-0.58,0.8743,1,1,1.35,40.014,9.779,9.115,12.973,0.0422,0.0,0.3783,0.0,9.301,0,0.0,,0.108
random|force|73.71|-0.58|0.874,random,force,73.705,-0.58,0.8743,0,0,,38.943,10.004,9.988,12.958,0.1508,0.0,0.6234,0.0,9.385,0,333.82,did not reach 40 deg in 2.5 s,0.527
random|hfvc|79.05|-1.29|0.792,random,hfvc,79.051,-1.291,0.7917,1,1,1.4895,40.005,9.971,9.95,14.22,0.0345,0.0,0.5022,0.0,10.044,0,198.88,,0.335
random|velocity|79.05|-1.29|0.792,random,velocity,79.051,-1.291,0.7917,0,1,1.362,40.012,26.065,17.711,25.957,0.0864,0.0,0.6579,0.0,25.546,0,0.0,finger force above 25 N,0.109
random|force|79.05|-1.29|0.792,random,force,79.051,-1.291,0.7917,0,0,,0.006,9.981,9.977,13.432,0.0966,0.0,0.9053,0.0,9.385,0,335.63,did not reach 40 deg in 2.5 s,0.549
random|hfvc|72.98|1.87|0.952,random,hfvc,72.983,1.868,0.9519,1,1,1.368,40.01,10.04,9.999,13.655,0.0524,0.0,0.3949,0.0,10.044,0,185.6,,0.315
