key,sweep,controller,t,theta_deg,finger_normal_N,finger_tangential_N,table_normal_N,table_slip_mm,finger_slide_mm
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0005,0.0046122730620340256,9.806232053885985,3.9882025997125994,13.75123331196837,2.6022642030881773e-12,0.0022442598968963213
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0045,0.05573083189598653,9.900476425271679,3.47406716708683,13.592317940250076,0.0001671657565635587,0.01745153465558905
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0085,0.1704149670979173,9.95742731303339,2.8542677972713766,13.172990072771093,0.00032245093955357573,0.026114338768902533
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0125,0.3119648974476104,9.997245373320759,2.435343780243811,12.897610531177598,0.00044824074114241386,0.029307145825529544
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0165,0.4548080940064099,10.0149645786763,2.2548790658923954,12.785142691869183,0.0005637790168391832,0.02973620800182848
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0205,0.5874734965000368,10.016366111285734,2.2416536767770894,12.784217904429742,0.0006814475932079289,0.03039695245967896
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0245,0.7087543560915169,10.010135571763355,2.3040839301772076,12.832737018448846,0.0008046860266799905,0.03067459764291778
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0285,0.8222899765998204,10.002876583999356,2.3753304438066785,12.886278327771375,0.0009321777951765142,0.031182687427705368
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0325,0.9324673162190007,9.997805686220177,2.423562788961616,12.924012476293331,0.0010613395735534215,0.032350122585460654
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0365,1.0423911804918804,9.995495279146796,2.44356424201678,12.942766913735571,0.0011899843235865792,0.03388466580458737
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0405,1.153483324007349,9.995179916246327,2.4434156603743733,12.948093655014944,0.0013168288515996718,0.035526669099567774
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0445,1.2659256937320147,9.995804013870144,2.4339370037283765,12.947261282382701,0.0014414230605844236,0.0371253212963996
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0485,1.3793031260768602,9.996573432944313,2.4231668767288785,12.9456194878601,0.0015638398783435203,0.03863149202759475
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0525,1.4930966052867185,9.997095492395673,2.4150158930689685,12.945740169569717,0.0016843517462727942,0.04005751726134294
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0565,1.6069323308603123,9.99729258207538,2.4101987624677177,12.948064560982186,0.0018032157816649796,0.04143753209858756
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0605,1.7206352559283373,9.997250264023192,2.4078011313843732,12.951959390637214,0.001920587075605884,0.04280252792890662
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0645,1.8341793713478753,9.99709264502256,2.4065455278868884,12.956562132347534,0.0020365197936841883,0.04417082463165936
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0685,1.9476119629268984,9.99691494736729,2.405465896570646,12.961227005855342,0.0021510050214751386,0.04554862273657452
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0725,2.060994408039917,9.996765224980381,2.404082504400812,12.965636979652162,0.0022640100202850344,0.04693466860791157
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0765,2.1743716866244327,9.996653793118966,2.4022990825947037,12.969731718385226,0.002375503622656372,0.04832497527596409
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0805,2.2877653241456835,9.996571059262747,2.400218670265431,12.973582944518501,0.0024854664572929175,0.049715841844951834
nominal|hfvc|75.00|0.00|0.800,nominal,hfvc,0.0845,2.401178942513485,9.996502425154373,2.3979919594066437,12.977292775647413,0.0025938909877162852,0.05110504123958983
